Organized by total time:

     Calls      Total Time        Per Call      Cumulative Time       Per Call (Cum)                       Function
         1        0.000006        0.000006             0.000082             0.000082 update_adjustment_panel        adjustment_panel\legacy_adjustment_panel.py:76
         2        0.000006        0.000003             0.000166             0.000083 calculate_angle                calculators\static_rot_angle_calculator.py:8
         2        0.000006        0.000003             0.000010             0.000005 compute_initial_position       strategies\initial_placement_strategy.py:17
         1        0.000006        0.000006             0.000029             0.000029 __init__                       getter\lead_state_determiner.py:9
         3        0.000006        0.000002             0.000030             0.000010 get_glyph_visibility           visibility_settings\visibility_settings.py:22
         1        0.000006        0.000006             0.000006             0.000006 __init__                       fade_manager\fadeable_opacity_effect.py:6
         1        0.000006        0.000006             0.000007             0.000007 clear_previous_animations      graph_editor\graph_editor_animator.py:36
         2        0.000005        0.000003             0.000009             0.000004 <lambda>                       fade_manager\widget_fader.py:93
         2        0.000005        0.000003             0.000012             0.000006 update_end_ori                 motion\motion_updater.py:26
         2        0.000005        0.000003             0.000007             0.000003 get_end_ori                    motion\motion_ori_calculator.py:44
         5        0.000005        0.000001             0.000007             0.000001 set_selected                   styles\styled_button.py:406
         2        0.000005        0.000003             0.000007             0.000004 _get_letter_suffix             strategies\placement_key_generator.py:19
         4        0.000005        0.000001             0.000006             0.000001 _select_calculator_class       rot_angle_manager\arrow_rot_angle_manager.py:22
         2        0.000005        0.000003             0.002130             0.001065 update_grid_mode               grid\grid.py:75
         2        0.000005        0.000003             0.000006             0.000003 current                        turns_adjustment_manager\turns_state.py:20
         2        0.000005        0.000003             0.000009             0.000005 set_elemental_glyph            elemental_glyph\elemental_glyph.py:45
         2        0.000005        0.000003             0.000025             0.000012 has_strict_placed_props        managers\pictograph_checker.py:185
         4        0.000005        0.000001             0.000006             0.000001 other_motion                   getter\pictograph_getter.py:57
         1        0.000005        0.000005             0.000065             0.000065 _extract_motion_dataset        updater\motion_data_updater.py:134
         1        0.000005        0.000005             0.000018             0.000018 _resize_start_ori_label        codex\codex_ori_selector.py:79
         4        0.000005        0.000001             0.000005             0.000001 resolve                        core\dependency_container.py:117
         2        0.000005        0.000002             0.002105             0.001053 __init__                       grid\grid.py:21
         1        0.000005        0.000005             0.000119             0.000119 resizeEvent                    layout_beat_frame\layout_beat_frame.py:117
         1        0.000005        0.000005             0.000010             0.000010 _get_animation_cache_key       fade_manager\widget_fader.py:29
         2        0.000005        0.000002             0.000011             0.000006 _get_directional_adjustments   arrow_placement_manager\arrow_adjustment_calculator.py:103
         1        0.000005        0.000005             0.000773             0.000773 update_arrows                  updater\arrow_data_updater.py:26
         4        0.000005        0.000001             0.000031             0.000008 update_display                 turns_widget\motion_type_label.py:18
         2        0.000005        0.000002             0.000005             0.000002 _set_mirror_conditions         arrow\arrow_mirror_handler.py:20
         2        0.000005        0.000002             0.000021             0.000010 get_adjustment_for_letter      arrow_placement_manager\arrow_adjustment_calculator.py:133
         1        0.000005        0.000005             0.000028             0.000028 update_elemental_glyph         elemental_glyph\elemental_glyph.py:75
         1        0.000004        0.000004             0.000011             0.000011 resizeEvent                    layout_controls\default_layout_label.py:27
         1        0.000004        0.000004             0.000018             0.000018 resizeEvent                    image_export\loading_spinner.py:280
         1        0.000004        0.000004             0.000088             0.000088 update_prop_positions          prop_placement_manager\prop_placement_manager.py:19
         2        0.000004        0.000002             0.000006             0.000003 _get_special_placements        arrow_placement_manager\arrow_adjustment_calculator.py:83
         2        0.000004        0.000002             0.000011             0.000006 update_attributes              prop\prop_attr_manager.py:28
        11        0.000004        0.000000             0.000004             0.000000 settings_manager               global_settings\app_context.py:101
         2        0.000004        0.000002             0.000110             0.000055 _get_radial_svg_file           arrow\arrow_svg_manager.py:47
         2        0.000004        0.000002             0.000026             0.000013 get_enable_fades               global_settings\global_settings.py:67
         2        0.000004        0.000002             0.000006             0.000003 set_orientation                ori_picker_widget\clickable_ori_label.py:36
         2        0.000004        0.000002             0.000004             0.000002 update_prefloat_state          motion\prefloat_state_updater.py:21
         2        0.000004        0.000002             0.000011             0.000005 get_quadrant_index             arrow_placement_manager\quadrant_index_handler.py:34
         2        0.000004        0.000002             0.000037             0.000018 update_mirror                  arrow\arrow_mirror_handler.py:16
         2        0.000004        0.000002             0.000013             0.000006 update_location                location_manager\arrow_location_manager.py:32
         2        0.000004        0.000002             0.000004             0.000002 update_current_orientation_index ori_picker_widget\ori_setter.py:59
         1        0.000004        0.000004             0.000008             0.000008 from_string                    letter\letter_type.py:63
         2        0.000004        0.000002             0.000115             0.000058 _get_arrow_svg_file            arrow\arrow_svg_manager.py:27
         2        0.000004        0.000002             0.000005             0.000002 display_value                  turns_adjustment_manager\turns_value.py:17
         1        0.000004        0.000004             0.000008             0.000008 get_letter                     letter\letter.py:90
         2        0.000004        0.000002             0.000007             0.000003 update_dash                    tka_glyph\dash.py:46
         1        0.000003        0.000003             0.000016             0.000016 _ensure_opacity_effect         fade_manager\widget_fader.py:96
         2        0.000003        0.000002             0.000005             0.000002 _get_grid_mode                 arrow_placement_manager\quadrant_index_handler.py:49
         8        0.000003        0.000000             0.000017             0.000002 <genexpr>                      managers\pictograph_checker.py:191
         2        0.000003        0.000002             0.000004             0.000002 ends_with_gamma                managers\pictograph_checker.py:33
         2        0.000003        0.000002             0.000004             0.000002 ends_with_alpha                managers\pictograph_checker.py:25
         2        0.000003        0.000002             0.000004             0.000002 get_directional_tuples         arrow_placement_manager\directional_tuple_generator.py:137
         2        0.000003        0.000002             0.000005             0.000003 ends_with_layer3               managers\pictograph_checker.py:55
         2        0.000003        0.000002             0.000225             0.000112 get_adjustment                 arrow_placement_manager\arrow_adjustment_calculator.py:31
         2        0.000003        0.000001             0.000007             0.000003 __init__                       turns_adjustment_manager\turns_value.py:4
         2        0.000003        0.000001             0.000004             0.000002 replace_class_color            svg_manager\svg_color_handler.py:39
         1        0.000003        0.000003             0.000003             0.000003 _calculate_rect                labels\difficulty_level_icon.py:36
         1        0.000003        0.000003             0.000012             0.000012 update_dummy_size              sequence_workbench\sequence_workbench_layout_manager.py:67
         1        0.000003        0.000003             0.000256             0.000256 update_arrow_placements        arrow_placement_manager\arrow_placement_manager.py:46
         2        0.000003        0.000001             0.000004             0.000002 generate_rotation_angle_override_key hotkey_graph_adjuster\rotation_angle_override_key_generator.py:23
         8        0.000003        0.000000             0.000003             0.000000 is_radial                      prop\prop_checker.py:14
         2        0.000003        0.000001             0.000004             0.000002 _get_static_dash_coords        strategies\initial_placement_strategy.py:33
         4        0.000003        0.000001             0.000003             0.000001 position_graph_editor          graph_editor\legacy_graph_editor.py:84
